sentence,true_relation,predicted_relation
The four <e1>men</e1> are being dragged into the criminal <e2>underworld</e2>.,Relation-18,Relation-6
The <e1>orders</e1> are shipped to foreign <e2>countries</e2> using US postal service delivery.,Relation-18,Relation-6
Even commercial <e1>networks</e1> have moved into <e2>high-definition broadcast</e2>.,Relation-11,Relation-18
"The <e1>broadsword</e1> was used in some <e2>units</e2>, particularly Scottish regiments.",Relation-10,Relation-2
"After some time, the <e1>acids</e1> caused a white <e2>spot</e2> on the tooth where they dissolved some of the enamel.",Relation-18,Relation-0
"Beginning in 1966-67, the <e1>club</e1> made the <e2>playoffs</e2> nine consecutive seasons, the only NHL team of the period to accomplish that feat.",Relation-6,Relation-18
Scientists have successfully tested a <e1>system</e1> that translates brain waves into <e2>speech</e2>.,Relation-18,Relation-17
He followed a specific procedure for obtaining the <e1>engineer</e1>'s <e2>permit</e2> in Quebec and met certain requirements to receive an engineer's permit.,Relation-18,Relation-11
The Corel data set is relatively simple because the annotations are <e1>nouns</e1> selected from a relatively small <e2>vocabulary</e2>.,Relation-12,Relation-18
People did read the <e1>text</e1> in a <e2>dialog box</e2>.,Relation-2,Relation-4
The opposing <e1>party</e1> hid the anvil with a <e2>view</e2> to important consequences.,Relation-18,Relation-11
"Fruit juice has all the <e1>fruit</e1> <e2>sugar</e2> and none of the fruit fiber, and only some of the fruit nutrients.",Relation-9,Relation-18
"Since the <e1>complex</e1> was built in <e2>stages</e2>, discrepancies exist in completion dates due to differing opinions on ""completion"".",Relation-18,Relation-3
The <e1>phrase</e1> was related in a <e2>preface</e2> of a 1904 collection of Drury's stories.,Relation-18,Relation-15
The <e1>geology</e1> comprises <e2>granite</e2> of the Mesozoic era as the bedrock.,Relation-18,Relation-3
He needs to capture 22nd century <e1>criminals</e1> who have escaped by <e2>time-traveling</e2>.,Relation-11,Relation-18
The <e1>results</e1> are often displayed in <e2>charts</e2> or written as narratives.,Relation-3,Relation-15
A witness <e1>statement</e1> contains the witness's factual <e2>account</e2> of the circumstances of the dispute.,Relation-2,Relation-3
"A state <e1>church</e1> is created by the <e2>state</e2>, as in the cases of the Anglican Church, created by Henry VIII.",Relation-16,Relation-18
My major <e1>disagreement</e1> with Lyons concerns the <e2>causal part</e2> of his theory.,Relation-18,Relation-14
Still other examples of the <e1>potter</e1>'s <e2>ceramics</e2> are clad in slinky assortments of tassels and beads.,Relation-17,Relation-11
The <e1>food</e1> is kept in the <e2>kitchen</e2> and guests help themselves as it is a self service.,Relation-18,Relation-2
The victim slipped off the gangway while attempting to close the <e1>lid</e1> of the <e2>tank</e2> trailer.,Relation-18,Relation-2
The <e1>wind</e1> pried with its stiff <e2>fingers</e2> at the very foundations.,Relation-3,Relation-2
The <e1>frame</e1> encloses a rectangular <e2>picture</e2> that has the same area as the frame itself.,Relation-4,Relation-5
"The stainless-steel <e1>vessel</e1> was filled with <e2>nitrogen</e2>, and the pressure in the outer volume of the chamber was kept steady.",Relation-7,Relation-5
"They weave fine cloth, and they use the <e1>down</e1> of <e2>water-sheep</e2> in making it; it is called Hai-hsi-pu (cloth from the west of the sea).",Relation-8,Relation-18
Our ancestors have passed on <e1>knowledge</e1> to <e2>descendants</e2>.,Relation-18,Relation-6
This <e1>method</e1> increases the ship's efficiency through drag <e2>reduction</e2> while also protecting the ocean from biocides that may leak.,Relation-3,Relation-18
It was a <e1>factory</e1> for destroying perfectly good <e2>pants</e2>.,Relation-18,Relation-17
"The <e1>chair</e1> of the <e2>corporation</e2>, at the time of election, shall be either a former President, the retiring President, or a member (not emeritus) of the Corporation.",Relation-18,Relation-12
The Titan heats the dermis to cause collagen contraction while ensuring <e1>preservation</e1> the epidermis through continuous <e2>cooling</e2>.,Relation-1,Relation-18
These <e1>acts</e1> declared <e2>principles</e2> and established policies in the only way it has ever been successfully done.,Relation-14,Relation-18
The Baha'u'llah <e1>religion</e1> has liberated human minds by a <e2>prohibition</e2> within His Faith against any caste with ecclesiastical prerogatives.,Relation-17,Relation-18
"The <e1>data</e1> is received from a <e2>sensor</e2> in the shoe, with audible feedback provided through the earphones.",Relation-16,Relation-8
"The tsunami <e1>wave</e1> was generated by a 100 kilometer radius <e2>cavity</e2>, 3000 meters deep.",Relation-8,Relation-18
The <e1>scream</e1> was coming from his own <e2>chambers</e2>; he ran through them and drew to a halt at the doorway to Eirin's room.,Relation-8,Relation-1
The <e1>envelope</e1> contained an important intelligence <e2>discovery</e2> of the war.,Relation-5,Relation-18
<e1>Immigrants</e1> accounted for more than half of Britain's <e2>population</e2> growth in recent years.,Relation-0,Relation-12
"The <e1>cow</e1> makes a <e2>sound</e2> called lowing, also known as mooing.",Relation-1,Relation-0
"Each <e1>sample</e1> of the felt was enclosed in a separate glass <e2>vial</e2> with blanks of polished lead, silver and copper.",Relation-6,Relation-4
"<e1>Properties</e1> of the soils developed from the <e2>amphibolites</e2> of Santiago-Ponte Ulla, Spain.",Relation-0,Relation-18
A popular local <e1>restaurant</e1> is the source of an <e2>outbreak</e2> linked to Salmonella.,Relation-9,Relation-0
"The <e1>findings</e1> were from two years of DNA <e2>testing</e2> and CT scans on 16 mummies, including those of Tutankhamun and his family, the team that carried out the study said in an article to be published Wednesday in the Journal of the American Medical Association.",Relation-18,Relation-3
"In addition, a brief <e1>biography</e1> establishing her <e2>credentials</e2> was included at the end of the report.",Relation-0,Relation-18
Two plane crash survivors have paid a special visit to the Hutt Hospital <e1>surgeon</e1> whose <e2>team</e2> helped to re-build their shattered faces eight years ago.,Relation-18,Relation-12
The <e1>pain</e1> was radiating from the right <e2>buttock</e2> to the knee joint.,Relation-8,Relation-1
The <e1>dryer</e1> emits <e2>air</e2> that is regulated close to your body temperature.,Relation-1,Relation-0
We have provided detailed <e1>instructions</e1> setting out each <e2>step</e2> you need to follow in order to carry out your own DNA sample collection.,Relation-14,Relation-18
"However, in general the theory languished until 1984 when an international meeting was organized in Kona, Hawaii, about the <e1>origin</e1> of the <e2>moon</e2>.",Relation-9,Relation-18
They respond to more and more <e1>telephone calls</e1> demanding <e2>payments</e2> to cover costs in order to receive their prize.,Relation-14,Relation-18
"Then the <e1>king</e1> handed the <e2>key</e2> to the queen, telling her, ""Be warned that whoever lets the serpent escape will be hung"".",Relation-9,Relation-11
"The <e1>list</e1> was distilled from <e2>conversations</e2> and presentations at IBM's EMEA analyst conference, Analyst Insights 07.",Relation-8,Relation-3
A <e1>diffusion</e1> driven desalination <e2>process</e2> is driven by water vapor saturating low humidity air.,Relation-10,Relation-18
A pool with a sand <e1>beach</e1> is located inside the <e2>cave</e2>.,Relation-18,Relation-2
A <e1>girl</e1> plays her violin on a pogo <e2>stick</e2>.,Relation-18,Relation-11
"Human rights <e1>advocates</e1> lit a <e2>flame</e2> to press the international community - especially China - to bring security to Darfur, Sudan.",Relation-11,Relation-17
"Instead of placing the <e1>seeds</e1> in a strainer <e2>basket</e2>, they were placed in a wet muslin or cheesecloth and hung up.",Relation-18,Relation-6
Global <e1>oil prolongation</e1> is approaching its <e2>peak</e2>.,Relation-6,Relation-18
Hundreds of tramping <e1>feet</e1> have pressed the snow into a glacial <e2>track</e2>.,Relation-17,Relation-18
Japanese commuters look at a <e1>clock</e1> inside a Tokyo <e2>train station</e2>.,Relation-18,Relation-2
The <e1>defendant</e1> was acting from his own <e2>computer</e2> in London.,Relation-18,Relation-11
The <e1>research</e1> has been published in a <e2>paper</e2> by the Scottish Records Association.,Relation-18,Relation-15
They chose samples and prepared them for viewing with the <e1>electron</e1> <e2>microscope</e2>.,Relation-10,Relation-11
"Shrimp <e1>paste</e1> is a key ingredient used for making Thai <e2>curry</e2> and it is also used in many spicy soups, salads, sauces and stir-fries.",Relation-2,Relation-9
I made the <e1>carpet</e1> by cutting a knitting wool into short <e2>strips</e2>.,Relation-2,Relation-3
The ovarian <e1>tumour</e1> was put inside a plastic <e2>bag</e2> before retrieval.,Relation-4,Relation-6
